Country,Commodity,Export_Value,Rank
Turkey,c001,27382.0,1
India,c001,7332.0,2
Viet Nam,c001,3039.0,3
Thailand,c001,2732.0,4
Pakistan,c001,1967.0,5
United States of America,c001,1203.0,6
"China, mainland",c001,1189.0,7
Myanmar,c001,940.0,8
Brazil,c001,547.0,9
Uruguay,c001,464.0,10
Paraguay,c001,397.0,11
Cambodia,c001,366.0,12
Italy,c001,315.0,13
Guyana,c001,295.0,14
United Republic of Tanzania,c001,176.0,15
Argentina,c001,165.0,16
Spain,c001,106.0,17
"China, Taiwan Province of",c001,103.0,18
Kazakhstan,c001,60.0,19
Russian Federation,c001,57.0,20
Turkey,c002,11007987.0,1
Russian Federation,c002,1967076.0,2
Canada,c002,1346390.0,3
United States of America,c002,1251397.0,4
France,c002,1050465.0,5
Ukraine,c002,886771.0,6
Argentina,c002,574715.0,7
Australia,c002,521897.0,8
Germany,c002,516641.0,9
Kazakhstan,c002,349277.0,10
Poland,c002,276909.0,11
Lithuania,c002,212943.0,12
Romania,c002,177441.0,13
Bulgaria,c002,172989.0,14
Hungary,c002,166953.0,15
Czech Republic,c002,138090.0,16
Latvia,c002,127141.0,17
Italy,c002,112424.0,18
India,c002,78589.0,19
United Kingdom,c002,77240.0,20
Turkey,c003,7746850.0,1
France,c003,173432.0,2
Russian Federation,c003,109899.0,3
Australia,c003,108991.0,4
Ukraine,c003,95827.0,5
Canada,c003,73310.0,6
Germany,c003,62366.0,7
Argentina,c003,59914.0,8
United Kingdom,c003,37780.0,9
Kazakhstan,c003,20716.0,10
Denmark,c003,19511.0,11
Hungary,c003,17967.0,12
Romania,c003,16186.0,13
Czech Republic,c003,12484.0,14
United States of America,c003,12141.0,15
Sweden,c003,11739.0,16
Uruguay,c003,10976.0,17
Lithuania,c003,9123.0,18
Slovakia,c003,7756.0,19
Poland,c003,7413.0,20
Turkey,c004,4656732.0,1
United States of America,c004,976091.0,2
Argentina,c004,684544.0,3
Brazil,c004,638537.0,4
Ukraine,c004,404357.0,5
Romania,c004,93231.0,6
France,c004,80848.0,7
Hungary,c004,75231.0,8
Serbia,c004,68586.0,9
South Africa,c004,62664.0,10
Bulgaria,c004,47982.0,11
India,c004,44305.0,12
Russian Federation,c004,43071.0,13
Paraguay,c004,39290.0,14
Poland,c004,27339.0,15
Croatia,c004,21610.0,16
Canada,c004,20866.0,17
"China, mainland",c004,18608.0,18
Myanmar,c004,17328.0,19
Slovakia,c004,10886.0,20
Turkey,c005,95960.0,1
Turkey,c006,250889.0,1
Canada,c006,2858.0,2
Finland,c006,519.0,3
Australia,c006,434.0,4
Chile,c006,354.0,5
United Kingdom,c006,219.0,6
Sweden,c006,211.0,7
Germany,c006,177.0,8
Poland,c006,177.0,9
Latvia,c006,157.0,10
Russian Federation,c006,146.0,11
Lithuania,c006,108.0,12
Estonia,c006,80.0,13
France,c006,72.0,14
Spain,c006,64.0,15
Denmark,c006,53.0,16
Czech Republic,c006,46.0,17
United States of America,c006,39.0,18
Ukraine,c006,36.0,19
Bulgaria,c006,31.0,20
Ukraine,c007,3659.0,1
Turkey,c007,3398.0,2
United States of America,c007,3124.0,3
India,c007,2398.0,4
Russian Federation,c007,1324.0,5
France,c007,690.0,6
Myanmar,c007,379.0,7
Pakistan,c007,378.0,8
Uzbekistan,c007,284.0,9
Burkina Faso,c007,190.0,10
Austria,c007,183.0,11
"China, mainland",c007,125.0,12
Poland,c007,121.0,13
Australia,c007,112.0,14
Argentina,c007,93.0,15
Kazakhstan,c007,93.0,16
Mali,c007,93.0,17
United Republic of Tanzania,c007,93.0,18
Nigeria,c007,62.0,19
Uganda,c007,62.0,20
United States of America,c008,5650230.0,1
Mexico,c008,4602643.0,2
Brazil,c008,2765373.0,3
Argentina,c008,1568238.0,4
"China, mainland",c008,1157842.0,5
Sudan,c008,958600.0,6
Bolivia (Plurinational State of),c008,916807.0,7
India,c008,885616.0,8
Nigeria,c008,718536.0,9
United Republic of Tanzania,c008,686113.0,10
Burkina Faso,c008,621026.0,11
Mali,c008,565306.0,12
Niger,c008,548230.0,13
Cameroon,c008,445189.0,14
France,c008,433698.0,15
Australia,c008,423036.0,16
Egypt,c008,400915.0,17
Ethiopia,c008,366054.0,18
Italy,c008,364603.0,19
Senegal,c008,178000.0,20
Turkey,c009,362579.0,1
Poland,c009,10036.0,2
Canada,c009,2915.0,3
Germany,c009,2232.0,4
Lithuania,c009,1849.0,5
Thailand,c009,1660.0,6
Russian Federation,c009,1406.0,7
France,c009,1326.0,8
Argentina,c009,1036.0,9
Spain,c009,793.0,10
Czech Republic,c009,779.0,11
Belgium,c009,616.0,12
United States of America,c009,609.0,13
Denmark,c009,521.0,14
Peru,c009,449.0,15
Italy,c009,381.0,16
Austria,c009,380.0,17
Bolivia (Plurinational State of),c009,339.0,18
Bulgaria,c009,327.0,19
Kazakhstan,c009,308.0,20
Turkey,c010,700683.0,1
Netherlands,c010,1716.0,2
Germany,c010,1662.0,3
United States of America,c010,1219.0,4
Belgium,c010,1147.0,5
France,c010,1053.0,6
Canada,c010,824.0,7
Poland,c010,421.0,8
Egypt,c010,245.0,9
"China, mainland",c010,225.0,10
Argentina,c010,184.0,11
India,c010,171.0,12
Pakistan,c010,150.0,13
Belarus,c010,147.0,14
United Kingdom,c010,120.0,15
Denmark,c010,114.0,16
Spain,c010,89.0,17
South Africa,c010,80.0,18
Iran (Islamic Republic of),c010,56.0,19
Israel,c010,51.0,20
Thailand,c011,606.0,1
Viet Nam,c011,290.0,2
Lao People's Democratic Republic,c011,60.0,3
Indonesia,c011,14.0,4
Cambodia,c011,9.0,5
Brazil,c011,4.0,6
Costa Rica,c011,3.0,7
Paraguay,c011,3.0,8
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Myanmar,c015,1419.0,1
Uganda,c015,906.0,2
Morocco,c015,356.0,3
Malaysia,c015,176.0,4
Thailand,c015,79.0,5
Costa Rica,c015,39.0,6
Viet Nam,c015,19.0,7
Turkey,c016,21405334.0,1
Turkey,c017,12770.0,1
Myanmar,c017,1661.0,2
Argentina,c017,594.0,3
United States of America,c017,572.0,4
Canada,c017,475.0,5
"China, mainland",c017,380.0,6
Ethiopia,c017,208.0,7
Brazil,c017,200.0,8
Kyrgyzstan,c017,138.0,9
Nicaragua,c017,136.0,10
Uganda,c017,101.0,11
United Republic of Tanzania,c017,94.0,12
Australia,c017,80.0,13
Egypt,c017,69.0,14
India,c017,65.0,15
Indonesia,c017,48.0,16
Madagascar,c017,48.0,17
Mozambique,c017,39.0,18
Kenya,c017,34.0,19
Thailand,c017,28.0,20
Canada,c018,1770.0,1
Russian Federation,c018,335.0,2
United States of America,c018,222.0,3
Ukraine,c018,178.0,4
France,c018,107.0,5
Turkey,c018,102.0,6
Lithuania,c018,64.0,7
Estonia,c018,31.0,8
Argentina,c018,27.0,9
Kazakhstan,c018,27.0,10
Australia,c018,24.0,11
Germany,c018,11.0,12
Latvia,c018,11.0,13
Czech Republic,c018,11.0,14
Sweden,c018,10.0,15
Malawi,c018,9.0,16
Hungary,c018,8.0,17
New Zealand,c018,8.0,18
United Kingdom,c018,6.0,19
Denmark,c018,5.0,20
Turkey,c019,157245.0,1
Canada,c019,48620.0,2
Australia,c019,21453.0,3
United States of America,c019,7967.0,4
India,c019,5726.0,5
Russian Federation,c019,5208.0,6
