"Country","Commodity","Export_Value","Rank"
"China, Taiwan Province of","c001",1372250,1
"United States of America","c001",45962,2
"Thailand","c001",29575,3
"Viet Nam","c001",24938,4
"Myanmar","c001",2107,5
"India","c001",1978,6
"Cambodia","c001",506,7
"China, mainland","c001",315,8
"Pakistan","c001",273,9
"Brazil","c001",227,10
"Australia","c001",196,11
"Italy","c001",161,12
"Spain","c001",59,13
"Guyana","c001",43,14
"Argentina","c001",39,15
"Lao People’s Democratic Republic","c001",29,16
"Uruguay","c001",25,17
"Paraguay","c001",22,18
"Bangladesh","c001",18,19
"Egypt","c001",16,20
"Sri Lanka","c001",6,21
"Mexico","c001",5,22
"Republic of Korea","c001",4,23
"Russian Federation","c001",4,24
"Kazakhstan","c001",3,25
"Turkey","c001",3,26
"Greece","c001",2,27
"Portugal","c001",2,28
"United Republic of Tanzania","c001",2,29
"Canada","c001",1,30
"Ecuador","c001",1,31
"Germany","c001",1,32
"Côte d’Ivoire","c001",1,33
"Suriname","c001",1,34
"Armenia","c001",0,35
"Afghanistan","c001",0,36
"Albania","c001",0,37
"Algeria","c001",0,38
"Angola","c001",0,39
"Antigua and Barbuda","c001",0,40
"Austria","c001",0,41
"Bahamas","c001",0,42
"Bahrain","c001",0,43
"Barbados","c001",0,44
"Belgium-Luxembourg","c001",0,45
"Bolivia (Plurinational State of)","c001",0,46
"Botswana","c001",0,47
"Belize","c001",0,48
"Solomon Islands","c001",0,49
"Brunei Darussalam","c001",0,50
"Bulgaria","c001",0,51
"Burundi","c001",0,52
"Cameroon","c001",0,53
"Cabo Verde","c001",0,54
"Central African Republic","c001",0,55
"Chad","c001",0,56
"Chile","c001",0,57
"Colombia","c001",0,58
"Congo","c001",0,59
"Costa Rica","c001",0,60
"Cuba","c001",0,61
"Cyprus","c001",0,62
"Czechoslovakia","c001",0,63
"Azerbaijan","c001",0,64
"Benin","c001",0,65
"Denmark","c001",0,66
"Dominica","c001",0,67
"Dominican Republic","c001",0,68
"Belarus","c001",0,69
"El Salvador","c001",0,70
"Estonia","c001",0,71
"Fiji","c001",0,72
"Finland","c001",0,73
"France","c001",0,74
"French Polynesia","c001",0,75
"Djibouti","c001",0,76
"Georgia","c001",0,77
"Gabon","c001",0,78
"Gambia","c001",0,79
"Bosnia and Herzegovina","c001",0,80
"Ghana","c001",0,81
"Kiribati","c001",0,82
"Grenada","c001",0,83
"Guatemala","c001",0,84
"Guinea","c001",0,85
"Haiti","c001",0,86
"Honduras","c001",0,87
"China, Hong Kong SAR","c001",0,88
"Hungary","c001",0,89
"Croatia","c001",0,90
"Iceland","c001",0,91
"Indonesia","c001",0,92
"Iran (Islamic Republic of)","c001",0,93
"Iraq","c001",0,94
"Ireland","c001",0,95
"Israel","c001",0,96
"Jamaica","c001",0,97
"Japan","c001",0,98
"Jordan","c001",0,99
