Country,Commodity,Export_Value,Rank
United Republic of Tanzania,c001,162813.0,1
India,c001,17.0,2
Viet Nam,c001,8.0,3
Thailand,c001,7.0,4
Pakistan,c001,4.0,5
Myanmar,c001,2.0,6
"China, mainland",c001,2.0,7
United States of America,c001,2.0,8
Brazil,c001,1.0,9
United Republic of Tanzania,c002,5101.0,1
Russian Federation,c002,3244.0,2
Canada,c002,2221.0,3
United States of America,c002,2064.0,4
France,c002,1732.0,5
Ukraine,c002,1464.0,6
Argentina,c002,949.0,7
Australia,c002,861.0,8
Germany,c002,853.0,9
Kazakhstan,c002,576.0,10
Poland,c002,458.0,11
Lithuania,c002,351.0,12
Romania,c002,293.0,13
Bulgaria,c002,287.0,14
Hungary,c002,277.0,15
Turkey,c002,273.0,16
Czech Republic,c002,228.0,17
Latvia,c002,209.0,18
Italy,c002,185.0,19
India,c002,129.0,20
United Republic of Tanzania,c003,18873.0,1
France,c003,8321.0,2
Russian Federation,c003,5274.0,3
Australia,c003,5230.0,4
Ukraine,c003,4598.0,5
Canada,c003,3518.0,6
Germany,c003,2993.0,7
Argentina,c003,2876.0,8
United Kingdom,c003,1813.0,9
Kazakhstan,c003,995.0,10
Denmark,c003,936.0,11
Hungary,c003,863.0,12
Romania,c003,776.0,13
Czech Republic,c003,600.0,14
United States of America,c003,582.0,15
Sweden,c003,563.0,16
Uruguay,c003,526.0,17
Lithuania,c003,437.0,18
Slovakia,c003,373.0,19
Poland,c003,357.0,20
United Republic of Tanzania,c004,1852493.0,1
United States of America,c004,4493.0,2
Argentina,c004,3149.0,3
Brazil,c004,2939.0,4
Ukraine,c004,1863.0,5
Romania,c004,428.0,6
France,c004,371.0,7
Hungary,c004,347.0,8
Serbia,c004,315.0,9
South Africa,c004,287.0,10
Bulgaria,c004,220.0,11
India,c004,203.0,12
Russian Federation,c004,197.0,13
Paraguay,c004,180.0,14
Poland,c004,126.0,15
Croatia,c004,98.0,16
Canada,c004,95.0,17
"China, mainland",c004,84.0,18
Myanmar,c004,78.0,19
Slovakia,c004,49.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
