Country,Commodity,Export_Value,Rank
Uganda,c001,15154.0,1
India,c001,5647.0,2
Viet Nam,c001,2339.0,3
Thailand,c001,2103.0,4
Pakistan,c001,1515.0,5
United States of America,c001,927.0,6
"China, mainland",c001,915.0,7
Myanmar,c001,722.0,8
Brazil,c001,420.0,9
Uruguay,c001,356.0,10
Paraguay,c001,304.0,11
Cambodia,c001,281.0,12
Italy,c001,242.0,13
Guyana,c001,228.0,14
United Republic of Tanzania,c001,136.0,15
Argentina,c001,128.0,16
Spain,c001,81.0,17
"China, Taiwan Province of",c001,79.0,18
Turkey,c001,57.0,19
Kazakhstan,c001,46.0,20
Russian Federation,c002,7322.0,1
Canada,c002,5012.0,2
United States of America,c002,4659.0,3
France,c002,3910.0,4
Uganda,c002,3868.0,5
Ukraine,c002,3302.0,6
Argentina,c002,2139.0,7
Australia,c002,1943.0,8
Germany,c002,1923.0,9
Kazakhstan,c002,1300.0,10
Poland,c002,1031.0,11
Lithuania,c002,792.0,12
Romania,c002,661.0,13
Bulgaria,c002,645.0,14
Hungary,c002,622.0,15
Turkey,c002,615.0,16
Czech Republic,c002,515.0,17
Latvia,c002,473.0,18
Italy,c002,418.0,19
India,c002,293.0,20
France,c003,7663.0,1
Russian Federation,c003,4856.0,2
Australia,c003,4815.0,3
Ukraine,c003,4234.0,4
Canada,c003,3239.0,5
Germany,c003,2755.0,6
Argentina,c003,2647.0,7
United Kingdom,c003,1669.0,8
Uganda,c003,1126.0,9
Kazakhstan,c003,915.0,10
Denmark,c003,862.0,11
Hungary,c003,794.0,12
Romania,c003,715.0,13
Czech Republic,c003,552.0,14
United States of America,c003,536.0,15
Sweden,c003,519.0,16
Uruguay,c003,485.0,17
Lithuania,c003,403.0,18
Slovakia,c003,343.0,19
Poland,c003,328.0,20
Uganda,c004,1234806.0,1
United States of America,c004,1171.0,2
Argentina,c004,822.0,3
Brazil,c004,768.0,4
Ukraine,c004,484.0,5
Romania,c004,111.0,6
France,c004,96.0,7
Hungary,c004,90.0,8
Serbia,c004,82.0,9
South Africa,c004,75.0,10
Bulgaria,c004,57.0,11
India,c004,54.0,12
Russian Federation,c004,51.0,13
Paraguay,c004,47.0,14
Poland,c004,31.0,15
Canada,c004,26.0,16
Croatia,c004,26.0,17
"China, mainland",c004,23.0,18
Myanmar,c004,21.0,19
Slovakia,c004,13.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
Uganda,c007,19279.0,1
Uganda,c008,125837.0,1
United States of America,c008,2630.0,2
Argentina,c008,185.0,3
Australia,c008,72.0,4
France,c008,67.0,5
Kenya,c008,25.0,6
Hungary,c008,23.0,7
Ukraine,c008,21.0,8
Burkina Faso,c008,16.0,9
India,c008,14.0,10
"China, mainland",c008,9.0,11
Russian Federation,c008,6.0,12
Bolivia (Plurinational State of),c008,4.0,13
Brazil,c008,4.0,14
Republic of Moldova,c008,4.0,15
United Republic of Tanzania,c008,4.0,16
Paraguay,c008,2.0,17
Romania,c008,2.0,18
South Africa,c008,2.0,19
Austria,c008,1.0,20
Uganda,c009,999.0,1
Uganda,c010,68285.0,1
Netherlands,c010,1107.0,2
Germany,c010,1074.0,3
United States of America,c010,787.0,4
Belgium,c010,740.0,5
France,c010,680.0,6
Canada,c010,531.0,7
Poland,c010,272.0,8
Egypt,c010,159.0,9
"China, mainland",c010,143.0,10
Argentina,c010,119.0,11
India,c010,110.0,12
Pakistan,c010,97.0,13
Belarus,c010,93.0,14
United Kingdom,c010,77.0,15
Denmark,c010,75.0,16
Spain,c010,57.0,17
South Africa,c010,52.0,18
Turkey,c010,51.0,19
Iran (Islamic Republic of),c010,36.0,20
Uganda,c011,67276.0,1
Thailand,c011,435.0,2
Viet Nam,c011,208.0,3
Lao People's Democratic Republic,c011,44.0,4
Indonesia,c011,10.0,5
Cambodia,c011,7.0,6
Brazil,c011,3.0,7
Costa Rica,c011,2.0,8
Paraguay,c011,2.0,9
India,c011,1.0,10
Nicaragua,c011,1.0,11
United Republic of Tanzania,c011,1.0,12
Uganda,c012,84210.0,1
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Uganda,c015,5174977.0,1
Russian Federation,c016,39353891.0,1
Germany,c016,28206564.0,2
United States of America,c016,26460729.0,3
France,c016,25996243.0,4
Turkey,c016,21405334.0,5
Poland,c016,14719223.0,6
Egypt,c016,11805000.0,7
"China, mainland",c016,10029888.0,8
Ukraine,c016,9149999.0,9
Netherlands,c016,6806893.0,10
United Kingdom,c016,5635000.0,11
Iran (Islamic Republic of),c016,5420058.0,12
Belgium,c016,4816410.0,13
Belarus,c016,4526922.0,14
Japan,c016,3889223.0,15
Czech Republic,c016,3601236.0,16
Morocco,c016,3083052.0,17
Denmark,c016,2438616.0,18
Austria,c016,2116000.0,19
Spain,c016,2037889.0,20
Uganda,c017,56988.0,1
Myanmar,c017,322.0,2
Argentina,c017,116.0,3
United States of America,c017,110.0,4
Canada,c017,92.0,5
"China, mainland",c017,74.0,6
Ethiopia,c017,40.0,7
Brazil,c017,38.0,8
Kyrgyzstan,c017,26.0,9
Nicaragua,c017,26.0,10
United Republic of Tanzania,c017,18.0,11
Turkey,c017,18.0,12
Australia,c017,16.0,13
Egypt,c017,14.0,14
India,c017,12.0,15
Indonesia,c017,10.0,16
Madagascar,c017,10.0,17
Mozambique,c017,8.0,18
Kenya,c017,6.0,19
Thailand,c017,6.0,20
Uganda,c018,3227.0,1
Canada,c018,1693.0,2
Russian Federation,c018,319.0,3
United States of America,c018,212.0,4
Ukraine,c018,169.0,5
France,c018,103.0,6
Lithuania,c018,61.0,7
Estonia,c018,31.0,8
Argentina,c018,26.0,9
Kazakhstan,c018,26.0,10
Australia,c018,23.0,11
Czech Republic,c018,12.0,12
Germany,c018,11.0,13
Latvia,c018,11.0,14
Malawi,c018,11.0,15
Sweden,c018,11.0,16
Hungary,c018,6.0,17
New Zealand,c018,6.0,18
United Kingdom,c018,5.0,19
Myanmar,c018,4.0,20
Uganda,c019,6807.0,1
Canada,c019,488.0,2
Australia,c019,216.0,3
United States of America,c019,80.0,4
Turkey,c019,60.0,5
India,c019,58.0,6
Russian Federation,c019,51.0,7
