Country,Commodity,Export_Value,Rank
Ukraine,c001,4664.0,1
India,c001,4133.0,2
Viet Nam,c001,1712.0,3
Thailand,c001,1542.0,4
Pakistan,c001,1110.0,5
United States of America,c001,677.0,6
"China, mainland",c001,668.0,7
Myanmar,c001,529.0,8
Brazil,c001,309.0,9
Uruguay,c001,260.0,10
Paraguay,c001,223.0,11
Cambodia,c001,206.0,12
Italy,c001,177.0,13
Guyana,c001,166.0,14
United Republic of Tanzania,c001,100.0,15
Argentina,c001,92.0,16
Spain,c001,61.0,17
"China, Taiwan Province of",c001,58.0,18
Turkey,c001,39.0,19
Kazakhstan,c001,35.0,20
Ukraine,c002,3824776.0,1
Russian Federation,c002,5151.0,2
Canada,c002,3525.0,3
United States of America,c002,3277.0,4
France,c002,2751.0,5
Argentina,c002,1505.0,6
Australia,c002,1368.0,7
Germany,c002,1353.0,8
Kazakhstan,c002,913.0,9
Poland,c002,723.0,10
Lithuania,c002,558.0,11
Romania,c002,465.0,12
Bulgaria,c002,452.0,13
Hungary,c002,438.0,14
Turkey,c002,432.0,15
Czech Republic,c002,362.0,16
Latvia,c002,334.0,17
Italy,c002,294.0,18
India,c002,206.0,19
United Kingdom,c002,202.0,20
Ukraine,c003,3129115.0,1
France,c003,2026.0,2
Russian Federation,c003,1286.0,3
Australia,c003,1275.0,4
Canada,c003,858.0,5
Germany,c003,727.0,6
Argentina,c003,699.0,7
United Kingdom,c003,440.0,8
Kazakhstan,c003,243.0,9
Denmark,c003,227.0,10
Hungary,c003,209.0,11
Romania,c003,191.0,12
Czech Republic,c003,147.0,13
United States of America,c003,142.0,14
Sweden,c003,138.0,15
Uruguay,c003,128.0,16
Lithuania,c003,106.0,17
Slovakia,c003,90.0,18
Poland,c003,86.0,19
Belgium,c003,86.0,20
Ukraine,c004,7157666.0,1
United States of America,c004,2646.0,2
Argentina,c004,1856.0,3
Brazil,c004,1728.0,4
Romania,c004,252.0,5
France,c004,219.0,6
Hungary,c004,205.0,7
Serbia,c004,185.0,8
South Africa,c004,170.0,9
Bulgaria,c004,130.0,10
India,c004,119.0,11
Russian Federation,c004,116.0,12
Paraguay,c004,104.0,13
Poland,c004,73.0,14
Croatia,c004,59.0,15
Canada,c004,57.0,16
"China, mainland",c004,50.0,17
Myanmar,c004,46.0,18
Slovakia,c004,29.0,19
Turkey,c004,25.0,20
Ukraine,c005,165606.0,1
Poland,c005,398.0,2
Germany,c005,133.0,3
Latvia,c005,47.0,4
Canada,c005,45.0,5
Sweden,c005,15.0,6
Lithuania,c005,14.0,7
Estonia,c005,13.0,8
Czech Republic,c005,8.0,9
Slovakia,c005,7.0,10
Austria,c005,5.0,11
Denmark,c005,5.0,12
France,c005,5.0,13
Russian Federation,c005,4.0,14
Belarus,c005,2.0,15
Finland,c005,2.0,16
Hungary,c005,2.0,17
Spain,c005,2.0,18
Ukraine,c006,413073.0,1
Canada,c006,4750.0,2
Finland,c006,863.0,3
Australia,c006,722.0,4
Chile,c006,585.0,5
United Kingdom,c006,363.0,6
Sweden,c006,348.0,7
Poland,c006,293.0,8
Germany,c006,292.0,9
Latvia,c006,260.0,10
Russian Federation,c006,241.0,11
Lithuania,c006,182.0,12
Estonia,c006,135.0,13
France,c006,119.0,14
Spain,c006,106.0,15
Denmark,c006,88.0,16
Czech Republic,c006,76.0,17
United States of America,c006,64.0,18
Bulgaria,c006,53.0,19
Ireland,c006,46.0,20
Ukraine,c007,148390.0,1
Ukraine,c008,75975.0,1
Ukraine,c009,19549.0,1
Poland,c009,763.0,2
Canada,c009,221.0,3
Germany,c009,169.0,4
Lithuania,c009,141.0,5
Thailand,c009,127.0,6
Russian Federation,c009,107.0,7
Turkey,c009,104.0,8
France,c009,101.0,9
Argentina,c009,78.0,10
Spain,c009,59.0,11
Czech Republic,c009,58.0,12
United States of America,c009,47.0,13
Belgium,c009,47.0,14
Denmark,c009,40.0,15
Peru,c009,35.0,16
Austria,c009,29.0,17
Italy,c009,29.0,18
Bolivia (Plurinational State of),c009,26.0,19
Bulgaria,c009,25.0,20
Ukraine,c010,14659442.0,1
Netherlands,c010,30538.0,2
Germany,c010,29579.0,3
United States of America,c010,21665.0,4
Belgium,c010,20386.0,5
France,c010,18736.0,6
Canada,c010,14668.0,7
Poland,c010,7489.0,8
Egypt,c010,4365.0,9
"China, mainland",c010,3986.0,10
Argentina,c010,3272.0,11
India,c010,3023.0,12
Pakistan,c010,2671.0,13
Belarus,c010,2587.0,14
United Kingdom,c010,2140.0,15
Denmark,c010,2045.0,16
Spain,c010,1584.0,17
South Africa,c010,1432.0,18
Turkey,c010,1413.0,19
Iran (Islamic Republic of),c010,1003.0,20
Thailand,c011,22678995.0,1
Nigeria,c011,21039326.0,2
Ghana,c011,11579357.0,3
Brazil,c011,10573364.0,4
Viet Nam,c011,6840555.0,5
Malawi,c011,3715710.0,6
"China, mainland",c011,3520447.0,7
Democratic Republic of the Congo,c011,3335893.0,8
Cambodia,c011,3135737.0,9
Cameroon,c011,2740600.0,10
Côte d'Ivoire,c011,2245267.0,11
Paraguay,c011,2151278.0,12
Benin,c011,1889265.0,13
Angola,c011,1651695.0,14
Philippines,c011,1551750.0,15
Lao People's Democratic Republic,c011,1464794.0,16
United Republic of Tanzania,c011,1391993.0,17
Indonesia,c011,1041543.0,18
Mozambique,c011,1023788.0,19
Senegal,c011,815755.0,20
"China, mainland",c012,22586277.0,1
Malawi,c012,6132732.0,2
Nigeria,c012,1067609.0,3
Viet Nam,c012,877188.0,4
United Republic of Tanzania,c012,666727.0,5
Madagascar,c012,558992.0,6
Brazil,c012,517879.0,7
Angola,c012,504690.0,8
Japan,c012,325318.0,9
Rwanda,c012,308768.0,10
United States of America,c012,302613.0,11
Mali,c012,213712.0,12
Egypt,c012,155700.0,13
"China, Taiwan Province of",c012,151412.0,14
Ethiopia,c012,148589.0,15
India,c012,115685.0,16
Democratic Republic of the Congo,c012,111999.0,17
Indonesia,c012,97442.0,18
Papua New Guinea,c012,96993.0,19
Uganda,c012,84819.0,20
Lao People's Democratic Republic,c013,3577530.0,1
Nigeria,c013,961874.0,2
Cameroon,c013,915038.0,3
Ethiopia,c013,823441.0,4
Ghana,c013,403943.0,5
"China, mainland",c013,334663.0,6
Democratic Republic of the Congo,c013,217546.0,7
Madagascar,c013,113432.0,8
Namibia,c013,84362.0,9
Colombia,c013,72940.0,10
Peru,c013,67152.0,11
Cuba,c013,66876.0,12
Indonesia,c013,60145.0,13
Mexico,c013,58359.0,14
Papua New Guinea,c013,50001.0,15
Pakistan,c013,48395.0,16
Nicaragua,c013,47170.0,17
Guinea,c013,42963.0,18
Japan,c013,39204.0,19
Gabon,c013,38836.0,20
Nigeria,c014,25143059.0,1
Côte d'Ivoire,c014,2597759.0,2
Ghana,c014,2151594.0,3
Benin,c014,1395408.0,4
Togo,c014,216560.0,5
Chad,c014,157002.0,6
Cameroon,c014,139996.0,7
Brazil,c014,120704.0,8
Central African Republic,c014,81000.0,9
Gabon,c014,70738.0,10
Guinea,c014,62950.0,11
Colombia,c014,44500.0,12
Papua New Guinea,c014,28000.0,13
Jamaica,c014,26804.0,14
Haiti,c014,24620.0,15
Japan,c014,21788.0,16
Democratic Republic of the Congo,c014,19873.0,17
Burkina Faso,c014,15999.0,18
Mali,c014,13152.0,19
Rwanda,c014,13001.0,20
Brazil,c015,738261328.0,1
India,c015,350428918.0,2
"China, mainland",c015,108182821.0,3
Pakistan,c015,79820778.0,4
Thailand,c015,71579466.0,5
Mexico,c015,50672847.0,6
United States of America,c015,32756709.0,7
Indonesia,c015,29299999.0,8
Australia,c015,28722750.0,9
Guatemala,c015,27661587.0,10
Colombia,c015,25742000.0,11
Philippines,c015,24384000.0,12
South Africa,c015,18220000.0,13
Argentina,c015,17500000.0,14
Cuba,c015,13189803.0,15
Egypt,c015,12405000.0,16
Myanmar,c015,11548011.0,17
Viet Nam,c015,11088286.0,18
