Country,Commodity,Export_Value,Rank
Uruguay,c001,45971.0,1
India,c001,10.0,2
Thailand,c001,4.0,3
Viet Nam,c001,4.0,4
Myanmar,c001,2.0,5
"China, mainland",c001,2.0,6
Pakistan,c001,2.0,7
United States of America,c001,2.0,8
Uruguay,c002,262396.0,1
Russian Federation,c002,15902.0,2
Canada,c002,10885.0,3
United States of America,c002,10118.0,4
France,c002,8492.0,5
Ukraine,c002,7167.0,6
Argentina,c002,4646.0,7
Australia,c002,4218.0,8
Germany,c002,4177.0,9
Kazakhstan,c002,2821.0,10
Poland,c002,2238.0,11
Lithuania,c002,1722.0,12
Romania,c002,1435.0,13
Bulgaria,c002,1398.0,14
Hungary,c002,1351.0,15
Turkey,c002,1334.0,16
Czech Republic,c002,1116.0,17
Latvia,c002,1028.0,18
Italy,c002,907.0,19
India,c002,633.0,20
Uruguay,c003,63894.0,1
France,c003,20.0,2
Australia,c003,13.0,3
Russian Federation,c003,13.0,4
Ukraine,c003,11.0,5
Canada,c003,9.0,6
Argentina,c003,7.0,7
Germany,c003,7.0,8
United Kingdom,c003,4.0,9
Kazakhstan,c003,3.0,10
Denmark,c003,2.0,11
Hungary,c003,2.0,12
Romania,c003,2.0,13
Czech Republic,c003,1.0,14
Sweden,c003,1.0,15
United States of America,c003,1.0,16
Uruguay,c004,754673.0,1
United States of America,c004,61640.0,2
Argentina,c004,43229.0,3
Brazil,c004,40324.0,4
Ukraine,c004,25534.0,5
Romania,c004,5889.0,6
France,c004,5106.0,7
Hungary,c004,4750.0,8
Serbia,c004,4331.0,9
South Africa,c004,3958.0,10
Bulgaria,c004,3032.0,11
India,c004,2798.0,12
Russian Federation,c004,2722.0,13
Paraguay,c004,2481.0,14
Poland,c004,1727.0,15
Croatia,c004,1366.0,16
Canada,c004,1317.0,17
"China, mainland",c004,1175.0,18
Myanmar,c004,1094.0,19
Slovakia,c004,688.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Uruguay,c006,38616.0,1
Canada,c006,3081.0,2
Finland,c006,558.0,3
Australia,c006,467.0,4
Chile,c006,379.0,5
United Kingdom,c006,237.0,6
Sweden,c006,227.0,7
Germany,c006,190.0,8
Poland,c006,190.0,9
Latvia,c006,168.0,10
Russian Federation,c006,156.0,11
Lithuania,c006,118.0,12
Estonia,c006,87.0,13
France,c006,80.0,14
Spain,c006,69.0,15
Denmark,c006,58.0,16
Czech Republic,c006,49.0,17
United States of America,c006,42.0,18
Ukraine,c006,39.0,19
Bulgaria,c006,34.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Uruguay,c008,100016.0,1
United States of America,c008,2508.0,2
Argentina,c008,175.0,3
Australia,c008,68.0,4
France,c008,62.0,5
Kenya,c008,25.0,6
Hungary,c008,23.0,7
Ukraine,c008,19.0,8
Burkina Faso,c008,15.0,9
India,c008,13.0,10
"China, mainland",c008,9.0,11
Uganda,c008,9.0,12
Russian Federation,c008,6.0,13
Bolivia (Plurinational State of),c008,3.0,14
Brazil,c008,3.0,15
Republic of Moldova,c008,3.0,16
United Republic of Tanzania,c008,3.0,17
Paraguay,c008,2.0,18
Romania,c008,2.0,19
South Africa,c008,2.0,20
Poland,c009,29646.0,1
Canada,c009,8613.0,2
Uruguay,c009,7153.0,3
Germany,c009,6597.0,4
Lithuania,c009,5458.0,5
Thailand,c009,4908.0,6
Russian Federation,c009,4152.0,7
Turkey,c009,4041.0,8
France,c009,3918.0,9
Argentina,c009,3060.0,10
Spain,c009,2344.0,11
Czech Republic,c009,2300.0,12
