Country,Commodity,Export_Value,Rank
United States of America,c001,1042576.0,1
India,c001,56391.0,2
Viet Nam,c001,23369.0,3
Thailand,c001,21014.0,4
Pakistan,c001,15124.0,5
"China, mainland",c001,9134.0,6
Myanmar,c001,7227.0,7
Brazil,c001,4212.0,8
Uruguay,c001,3566.0,9
Paraguay,c001,3047.0,10
Cambodia,c001,2815.0,11
Italy,c001,2427.0,12
Guyana,c001,2269.0,13
United Republic of Tanzania,c001,1354.0,14
Argentina,c001,1269.0,15
Spain,c001,814.0,16
"China, Taiwan Province of",c001,792.0,17
Turkey,c001,553.0,18
Kazakhstan,c001,466.0,19
Russian Federation,c001,443.0,20
United States of America,c002,6424662.0,1
Russian Federation,c002,179140.0,2
Canada,c002,122598.0,3
France,c002,95648.0,4
Ukraine,c002,80762.0,5
Argentina,c002,52341.0,6
Australia,c002,47526.0,7
Germany,c002,47026.0,8
Kazakhstan,c002,31807.0,9
Poland,c002,25215.0,10
Lithuania,c002,19394.0,11
Romania,c002,16157.0,12
Bulgaria,c002,15753.0,13
Hungary,c002,15205.0,14
Turkey,c002,14997.0,15
Czech Republic,c002,12577.0,16
Latvia,c002,11576.0,17
Italy,c002,10233.0,18
India,c002,7158.0,19
United Kingdom,c002,7032.0,20
United States of America,c003,874532.0,1
France,c003,32021.0,2
Russian Federation,c003,20291.0,3
Australia,c003,20123.0,4
Ukraine,c003,17691.0,5
Canada,c003,13534.0,6
Germany,c003,11513.0,7
Argentina,c003,11063.0,8
United Kingdom,c003,6974.0,9
Kazakhstan,c003,3826.0,10
Denmark,c003,3604.0,11
Hungary,c003,3319.0,12
Romania,c003,2989.0,13
Czech Republic,c003,2304.0,14
Sweden,c003,2167.0,15
Uruguay,c003,2025.0,16
Lithuania,c003,1684.0,17
Slovakia,c003,1432.0,18
Poland,c003,1369.0,19
Belgium,c003,1368.0,20
United States of America,c004,306301871.0,1
Argentina,c004,336751.0,2
Brazil,c004,313924.0,3
Ukraine,c004,198915.0,4
Romania,c004,45842.0,5
France,c004,39757.0,6
Hungary,c004,37005.0,7
Serbia,c004,33741.0,8
South Africa,c004,30823.0,9
Bulgaria,c004,23604.0,10
India,c004,21792.0,11
Russian Federation,c004,21187.0,12
Paraguay,c004,19328.0,13
Poland,c004,13445.0,14
Croatia,c004,10631.0,15
Canada,c004,10257.0,16
"China, mainland",c004,9118.0,17
Myanmar,c004,8522.0,18
Slovakia,c004,5356.0,19
Turkey,c004,4833.0,20
United States of America,c005,154413.0,1
Poland,c005,75756.0,2
Germany,c005,25552.0,3
Latvia,c005,9370.0,4
Canada,c005,8909.0,5
Sweden,c005,3160.0,6
Lithuania,c005,2855.0,7
Estonia,c005,2729.0,8
Czech Republic,c005,1820.0,9
Slovakia,c005,1584.0,10
Austria,c005,1171.0,11
Denmark,c005,1152.0,12
France,c005,1149.0,13
Russian Federation,c005,698.0,14
Hungary,c005,533.0,15
Finland,c005,519.0,16
Spain,c005,469.0,17
Belarus,c005,406.0,18
Ukraine,c005,291.0,19
Italy,c005,112.0,20
Canada,c006,382559.0,1
United States of America,c006,348458.0,2
Finland,c006,69452.0,3
Australia,c006,58056.0,4
Chile,c006,47149.0,5
United Kingdom,c006,29356.0,6
Sweden,c006,28219.0,7
Poland,c006,23688.0,8
Germany,c006,23629.0,9
Latvia,c006,20966.0,10
Russian Federation,c006,19462.0,11
Lithuania,c006,14576.0,12
Estonia,c006,10782.0,13
France,c006,9814.0,14
Spain,c006,8564.0,15
Denmark,c006,7135.0,16
Czech Republic,c006,6095.0,17
Ukraine,c006,4797.0,18
Bulgaria,c006,4204.0,19
Ireland,c006,3672.0,20
United States of America,c007,119457.0,1
Ukraine,c007,532.0,2
India,c007,349.0,3
Russian Federation,c007,193.0,4
France,c007,99.0,5
Myanmar,c007,56.0,6
Pakistan,c007,56.0,7
Uzbekistan,c007,41.0,8
Burkina Faso,c007,27.0,9
Austria,c007,25.0,10
"China, mainland",c007,20.0,11
Poland,c007,18.0,12
Australia,c007,16.0,13
Argentina,c007,14.0,14
Kazakhstan,c007,14.0,15
Mali,c007,14.0,16
