Country,Commodity,Export_Value,Rank
Uzbekistan,c001,35289.0,1
India,c001,756.0,2
Viet Nam,c001,312.0,3
Thailand,c001,281.0,4
Pakistan,c001,202.0,5
United States of America,c001,124.0,6
"China, mainland",c001,122.0,7
Myanmar,c001,96.0,8
Brazil,c001,56.0,9
Uruguay,c001,48.0,10
Paraguay,c001,41.0,11
Cambodia,c001,37.0,12
Italy,c001,31.0,13
Guyana,c001,29.0,14
United Republic of Tanzania,c001,18.0,15
Argentina,c001,17.0,16
Spain,c001,10.0,17
"China, Taiwan Province of",c001,10.0,18
Turkey,c001,7.0,19
Kazakhstan,c001,6.0,20
Uzbekistan,c002,1939296.0,1
Russian Federation,c002,160105.0,2
Canada,c002,109593.0,3
United States of America,c002,101870.0,4
France,c002,85503.0,5
Ukraine,c002,72176.0,6
Argentina,c002,46779.0,7
Australia,c002,42478.0,8
Germany,c002,42057.0,9
Kazakhstan,c002,28427.0,10
Poland,c002,22539.0,11
Lithuania,c002,17332.0,12
Romania,c002,14441.0,13
Bulgaria,c002,14080.0,14
Hungary,c002,13589.0,15
Turkey,c002,13433.0,16
Czech Republic,c002,11238.0,17
Latvia,c002,10347.0,18
Italy,c002,9152.0,19
India,c002,6399.0,20
Uzbekistan,c003,81377.0,1
France,c003,9393.0,2
Russian Federation,c003,5950.0,3
Australia,c003,5903.0,4
Ukraine,c003,5190.0,5
Canada,c003,3972.0,6
Germany,c003,3378.0,7
Argentina,c003,3245.0,8
United Kingdom,c003,2046.0,9
Kazakhstan,c003,1122.0,10
Denmark,c003,1058.0,11
Hungary,c003,973.0,12
Romania,c003,878.0,13
Czech Republic,c003,675.0,14
United States of America,c003,655.0,15
Sweden,c003,636.0,16
Uruguay,c003,592.0,17
Lithuania,c003,494.0,18
Slovakia,c003,420.0,19
Poland,c003,403.0,20
Uzbekistan,c004,257862.0,1
United States of America,c004,11590.0,2
Argentina,c004,8127.0,3
Brazil,c004,7581.0,4
Ukraine,c004,4801.0,5
Romania,c004,1107.0,6
France,c004,960.0,7
Hungary,c004,894.0,8
Serbia,c004,815.0,9
South Africa,c004,743.0,10
Bulgaria,c004,571.0,11
India,c004,526.0,12
Russian Federation,c004,512.0,13
Paraguay,c004,467.0,14
Poland,c004,324.0,15
Croatia,c004,256.0,16
Canada,c004,247.0,17
"China, mainland",c004,221.0,18
Myanmar,c004,206.0,19
Slovakia,c004,128.0,20
Uzbekistan,c005,4983.0,1
Canada,c006,1177.0,1
Uzbekistan,c006,1049.0,2
Finland,c006,213.0,3
Australia,c006,179.0,4
Chile,c006,145.0,5
United Kingdom,c006,90.0,6
Sweden,c006,87.0,7
Germany,c006,72.0,8
Poland,c006,72.0,9
Latvia,c006,63.0,10
Russian Federation,c006,59.0,11
Lithuania,c006,44.0,12
Estonia,c006,33.0,13
France,c006,31.0,14
Spain,c006,27.0,15
Denmark,c006,22.0,16
Czech Republic,c006,19.0,17
United States of America,c006,16.0,18
Ukraine,c006,15.0,19
Bulgaria,c006,12.0,20
Uzbekistan,c007,48848.0,1
Uzbekistan,c008,18040.0,1
United States of America,c008,1602.0,2
Argentina,c008,111.0,3
Australia,c008,44.0,4
France,c008,39.0,5
Kenya,c008,16.0,6
Hungary,c008,14.0,7
