Country,Commodity,Export_Value,Rank
Venezuela (Bolivarian Republic of),c001,18075.0,1
India,c001,7348.0,2
Viet Nam,c001,3045.0,3
Thailand,c001,2738.0,4
Pakistan,c001,1970.0,5
United States of America,c001,1205.0,6
"China, mainland",c001,1191.0,7
Myanmar,c001,941.0,8
Brazil,c001,549.0,9
Uruguay,c001,464.0,10
Paraguay,c001,397.0,11
Cambodia,c001,367.0,12
Italy,c001,316.0,13
Guyana,c001,296.0,14
United Republic of Tanzania,c001,176.0,15
Argentina,c001,165.0,16
Spain,c001,106.0,17
"China, Taiwan Province of",c001,103.0,18
Turkey,c001,72.0,19
Kazakhstan,c001,61.0,20
Russian Federation,c002,7431.0,1
Canada,c002,5086.0,2
United States of America,c002,4727.0,3
France,c002,3968.0,4
Ukraine,c002,3350.0,5
Argentina,c002,2172.0,6
Australia,c002,1972.0,7
Germany,c002,1952.0,8
Kazakhstan,c002,1320.0,9
Poland,c002,1045.0,10
Lithuania,c002,804.0,11
Romania,c002,670.0,12
Bulgaria,c002,654.0,13
Hungary,c002,630.0,14
Turkey,c002,623.0,15
Czech Republic,c002,522.0,16
Latvia,c002,480.0,17
Italy,c002,425.0,18
India,c002,297.0,19
United Kingdom,c002,290.0,20
Venezuela (Bolivarian Republic of),c003,9707.0,1
France,c003,4455.0,2
Russian Federation,c003,2823.0,3
Australia,c003,2800.0,4
Ukraine,c003,2462.0,5
Canada,c003,1883.0,6
Germany,c003,1602.0,7
Argentina,c003,1539.0,8
United Kingdom,c003,971.0,9
Kazakhstan,c003,532.0,10
Denmark,c003,501.0,11
Hungary,c003,462.0,12
Romania,c003,416.0,13
Czech Republic,c003,321.0,14
United States of America,c003,312.0,15
Sweden,c003,302.0,16
Uruguay,c003,282.0,17
Lithuania,c003,234.0,18
Slovakia,c003,199.0,19
Poland,c003,190.0,20
Venezuela (Bolivarian Republic of),c004,818045.0,1
United States of America,c004,186803.0,2
Argentina,c004,131006.0,3
Brazil,c004,122202.0,4
Ukraine,c004,77384.0,5
Romania,c004,17842.0,6
France,c004,15472.0,7
Hungary,c004,14396.0,8
Serbia,c004,13126.0,9
South Africa,c004,11993.0,10
Bulgaria,c004,9181.0,11
India,c004,8480.0,12
Russian Federation,c004,8243.0,13
Paraguay,c004,7520.0,14
Poland,c004,5233.0,15
Croatia,c004,4135.0,16
Canada,c004,3993.0,17
"China, mainland",c004,3564.0,18
Myanmar,c004,3315.0,19
Slovakia,c004,2084.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Russian Federation,c006,3863945.0,1
Canada,c006,2707425.0,2
Poland,c006,1483855.0,3
Spain,c006,1327958.0,4
Australia,c006,1004897.0,5
Finland,c006,829611.0,6
Sweden,c006,634473.0,7
Argentina,c006,550929.0,8
United Kingdom,c006,472876.0,9
"China, mainland",c006,436828.0,10
Ukraine,c006,427371.0,11
United States of America,c006,358808.0,12
Denmark,c006,347410.0,13
Belarus,c006,328425.0,14
Germany,c006,318260.0,15
France,c006,304269.0,16
Chile,c006,296623.0,17
Norway,c006,281980.0,18
Turkey,c006,251304.0,19
Lithuania,c006,223426.0,20
India,c007,2081585.0,1
"China, mainland",c007,1437741.0,2
Niger,c007,1051135.0,3
Senegal,c007,552999.0,4
Mali,c007,494798.0,5
United Republic of Tanzania,c007,300731.0,6
Sudan,c007,293821.0,7
Nigeria,c007,280651.0,8
Russian Federation,c007,235905.0,9
Ukraine,c007,228251.0,10
Guinea,c007,205705.0,11
United States of America,c007,187190.0,12
Pakistan,c007,147616.0,13
Burkina Faso,c007,144710.0,14
Myanmar,c007,125089.0,15
Chad,c007,110376.0,16
Ethiopia,c007,93143.0,17
Ghana,c007,58956.0,18
Uzbekistan,c007,55047.0,19
Kenya,c007,54306.0,20
Venezuela (Bolivarian Republic of),c008,52206.0,1
Poland,c009,289.0,1
Canada,c009,84.0,2
Germany,c009,64.0,3
Lithuania,c009,55.0,4
Thailand,c009,49.0,5
Russian Federation,c009,40.0,6
Turkey,c009,40.0,7
France,c009,38.0,8
Argentina,c009,29.0,9
Czech Republic,c009,22.0,10
Spain,c009,22.0,11
United States of America,c009,18.0,12
Belgium,c009,18.0,13
Denmark,c009,15.0,14
Peru,c009,13.0,15
Austria,c009,10.0,16
Bolivia (Plurinational State of),c009,10.0,17
Italy,c009,10.0,18
Bulgaria,c009,9.0,19
"China, mainland",c009,9.0,20
Venezuela (Bolivarian Republic of),c010,84606.0,1
Netherlands,c010,231.0,2
Germany,c010,223.0,3
United States of America,c010,164.0,4
Belgium,c010,154.0,5
France,c010,141.0,6
Canada,c010,111.0,7
Poland,c010,56.0,8
Egypt,c010,33.0,9
"China, mainland",c010,30.0,10
Argentina,c010,25.0,11
India,c010,23.0,12
Pakistan,c010,20.0,13
Belarus,c010,19.0,14
United Kingdom,c010,17.0,15
