Country,Commodity,Export_Value,Rank
India,c001,1226.0,1
Viet Nam,c001,508.0,2
Thailand,c001,457.0,3
Pakistan,c001,329.0,4
United States of America,c001,202.0,5
"China, mainland",c001,199.0,6
Myanmar,c001,157.0,7
Brazil,c001,91.0,8
Uruguay,c001,79.0,9
Paraguay,c001,66.0,10
Cambodia,c001,61.0,11
Italy,c001,53.0,12
Guyana,c001,50.0,13
United Republic of Tanzania,c001,29.0,14
Argentina,c001,28.0,15
Spain,c001,17.0,16
"China, Taiwan Province of",c001,16.0,17
Turkey,c001,12.0,18
Kazakhstan,c001,11.0,19
Russian Federation,c001,11.0,20
Russian Federation,c002,18404.0,1
Canada,c002,12599.0,2
United States of America,c002,11710.0,3
France,c002,9828.0,4
Ukraine,c002,8296.0,5
Argentina,c002,5376.0,6
Australia,c002,4883.0,7
Germany,c002,4834.0,8
Yemen,c002,4488.0,9
Kazakhstan,c002,3269.0,10
Poland,c002,2590.0,11
Lithuania,c002,1992.0,12
Romania,c002,1660.0,13
Bulgaria,c002,1618.0,14
Hungary,c002,1562.0,15
Turkey,c002,1544.0,16
Czech Republic,c002,1293.0,17
Latvia,c002,1189.0,18
Italy,c002,1053.0,19
India,c002,736.0,20
Yemen,c003,3000.0,1
United States of America,c004,84587.0,1
Argentina,c004,59321.0,2
Brazil,c004,55334.0,3
Ukraine,c004,35040.0,4
Yemen,c004,28593.0,5
Romania,c004,8079.0,6
France,c004,7008.0,7
Hungary,c004,6520.0,8
Serbia,c004,5944.0,9
South Africa,c004,5430.0,10
Bulgaria,c004,4158.0,11
India,c004,3839.0,12
Russian Federation,c004,3732.0,13
Paraguay,c004,3405.0,14
Poland,c004,2367.0,15
Croatia,c004,1873.0,16
Canada,c004,1808.0,17
"China, mainland",c004,1613.0,18
Myanmar,c004,1502.0,19
Slovakia,c004,943.0,20
Germany,c005,2828047.0,1
Poland,c005,1639520.0,2
Russian Federation,c005,1197160.0,3
Belarus,c005,887290.0,4
Denmark,c005,674173.0,5
"China, mainland",c005,421000.0,6
Spain,c005,353710.0,7
Canada,c005,286023.0,8
Argentina,c005,220999.0,9
Ukraine,c005,168958.0,10
United States of America,c005,156225.0,11
Latvia,c005,127881.0,12
Austria,c005,120007.0,13
France,c005,101516.0,14
Turkey,c005,95960.0,15
Hungary,c005,68247.0,16
Czech Republic,c005,64890.0,17
Lithuania,c005,64831.0,18
Sweden,c005,47123.0,19
Estonia,c005,44666.0,20
Canada,c006,442.0,1
Finland,c006,80.0,2
Australia,c006,67.0,3
Chile,c006,54.0,4
United Kingdom,c006,34.0,5
Sweden,c006,33.0,6
Germany,c006,28.0,7
Poland,c006,28.0,8
Latvia,c006,24.0,9
Russian Federation,c006,22.0,10
Lithuania,c006,16.0,11
Estonia,c006,13.0,12
France,c006,12.0,13
Spain,c006,11.0,14
Denmark,c006,8.0,15
Czech Republic,c006,8.0,16
Ukraine,c006,5.0,17
United States of America,c006,5.0,18
Bulgaria,c006,4.0,19
Ireland,c006,4.0,20
Yemen,c007,4663.0,1
Ukraine,c007,90.0,2
United States of America,c007,77.0,3
India,c007,59.0,4
